Fwd Header Length.1,Fwd Packet Length Max,Bwd Header Length,Fwd Header Length,Total Fwd Packets,Fwd IAT Max,Bwd Packets/s,Init_Win_bytes_backward,Total Length of Bwd Packets,Init_Win_bytes_forward,Max Packet Length,Bwd Packet Length Max,Packet Length Mean,Average Packet Size,Packet Length Std,Subflow Bwd Bytes,Packet Length Variance,Bwd Packet Length Mean,Avg Bwd Segment Size,Bwd Packet Length Std,Predicted
40,31,0,40,2,4,0.0,-1,0,60,31,0,22.66666667,34.0,14.43375673,0,208.3333333,0.0,0.0,0.0,BENIGN
1168,570,1992,1168,46,23792,435.4635931,61,105855,29200,4344,4344,983.3027523,992.4074074,1052.39205,105855,1107529.028,1707.33871,1707.33871,846.172655,BENIGN
744,570,904,744,23,24311,235.5454981,61,45025,29200,2896,2896,888.3461538,905.7647059,1028.323762,45025,1057449.76,1608.035714,1608.035714,902.027366,BENIGN
1120,570,1768,1120,43,23823,383.0697117,61,107289,29200,4344,4344,1096.868687,1108.061224,1183.665309,107289,1401063.564,1950.709091,1950.709091,928.2303887,BENIGN
1252,570,1896,1252,49,24248,410.4490591,61,110185,29200,4344,4344,1023.082569,1032.555556,1147.95835,110185,1317808.373,1867.542373,1867.542373,928.8619348,BENIGN
32,48,32,32,1,0,8.278693953,-1,100,-1,100,100,65.33333333,98.0,30.022214,100,901.3333333,100.0,100.0,0.0,BENIGN
20,55,32,20,1,0,19.64404982,-1,83,-1,83,83,64.33333333,96.5,16.16580754,83,261.3333333,83.0,83.0,0.0,BENIGN
20,77,20,20,1,0,42.38186056,-1,159,-1,159,159,104.3333333,156.5,47.34272207,159,2241.333333,159.0,159.0,0.0,BENIGN
104,43,40,104,4,49048,32.77775046,-1,198,-1,99,99,59.0,68.83333333,27.32520204,198,746.6666667,99.0,99.0,0.0,BENIGN
64,38,64,64,2,3,10204.08163,-1,140,-1,70,70,50.8,63.5,17.52712184,140,307.2,70.0,70.0,0.0,BENIGN
40,32,40,40,2,48,9569.37799,-1,198,-1,99,99,58.8,73.5,36.69741135,198,1346.7,99.0,99.0,0.0,BENIGN
40,41,40,40,2,3,10204.08163,-1,146,-1,73,73,53.8,67.25,17.52712184,146,307.2,73.0,73.0,0.0,BENIGN
120,33,64,120,4,25802,20.65880943,-1,150,-1,75,75,45.0,52.5,20.49390153,150,420.0,75.0,75.0,0.0,BENIGN
172,191,112,172,8,5412143,0.847379639,237,3631,8192,1891,1891,285.9285714,307.9230769,600.7356342,3631,360883.3022,726.2,726.2,886.8146368,BENIGN
60,6,0,60,3,4353,0.0,-1,0,127,6,0,6.0,8.0,0.0,0,0.0,0.0,0.0,0.0,BENIGN
40,6,0,40,2,3,0.0,-1,0,4969,6,0,6.0,9.0,0.0,0,0.0,0.0,0.0,0.0,BENIGN
60,6,0,60,3,12813,0.0,-1,0,32,6,0,6.0,8.0,0.0,0,0.0,0.0,0.0,0.0,DoS
32,0,32,32,1,0,10752.68817,229,0,57,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,BENIGN
32,0,32,32,1,0,45454.54545,348,0,130,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,BENIGN
532,206,692,532,26,59000000,0.287254998,360,36109,8192,2860,2860,607.3770492,617.5,729.331707,36109,531924.7388,1062.029412,1062.029412,695.0806574,BENIGN
128,37,40,128,4,30809,41.46882581,-1,236,-1,118,118,60.14285714,70.16666667,39.52395295,236,1562.142857,118.0,118.0,0.0,BENIGN
40,45,40,40,2,4,13422.81879,-1,122,-1,61,61,51.4,64.25,8.76356092,122,76.8,61.0,61.0,0.0,BENIGN
64,45,64,64,2,48,39.46329913,-1,172,-1,86,86,61.4,76.75,22.45662486,172,504.3,86.0,86.0,0.0,BENIGN
64,47,64,64,2,48,34.31355729,-1,206,-1,103,103,69.4,86.75,30.67246322,206,940.8,103.0,103.0,0.0,BENIGN
64,33,64,64,2,1,41.04669061,-1,198,-1,99,99,59.4,74.25,36.1496888,198,1306.8,99.0,99.0,0.0,BENIGN
64,38,64,64,2,4,41.47140547,-1,108,-1,54,54,44.4,55.5,8.76356092,108,76.8,54.0,54.0,0.0,BENIGN
64,0,0,64,2,8218,0.0,-1,0,317,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,BENIGN
20,6,20,20,1,0,33.19612269,123,6,237,6,6,6.0,9.0,0.0,6,0.0,6.0,6.0,0.0,BENIGN
340,517,332,340,16,10000000,0.266237443,127,15759,29200,3798,3798,513.1212121,529.15625,1058.148346,15759,1119677.922,984.9375,984.9375,1378.981531,BENIGN
64,37,64,64,2,4,11235.95506,-1,106,-1,53,53,43.4,54.25,8.76356092,106,76.8,53.0,53.0,0.0,BENIGN
40,32,40,40,2,191,8849.557522,-1,96,-1,48,48,38.4,48.0,8.76356092,96,76.8,48.0,48.0,0.0,BENIGN
60,54,72,60,2,1618120,1.174473982,-1,259,-1,149,149,82.0,102.5,45.72198596,259,2090.5,129.5,129.5,27.57716447,BENIGN
32,56,32,32,1,0,42.70219489,-1,72,-1,72,72,61.33333333,92.0,9.237604307,72,85.33333333,72.0,72.0,0.0,BENIGN
92,0,60,92,3,506240,2.982175537,0,18,8192,6,6,2.571428571,3.0,3.207134903,18,10.28571429,6.0,6.0,0.0,Bot
100,46,20,100,5,4415037,0.212102348,16384,46,254,46,46,32.42857143,37.83333333,18.86670032,46,355.952381,46.0,46.0,0.0,BENIGN
64,31,20,64,2,3,14925.37313,0,6,1063,31,6,17.0,22.66666667,16.35033129,6,267.3333333,6.0,6.0,0.0,BENIGN
32,0,32,32,1,0,45454.54545,284,0,972,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,BENIGN
60,31,20,60,3,3,17543.85965,0,6,1178,31,6,11.0,13.75,11.18033989,6,125.0,6.0,6.0,0.0,BENIGN
160,46,32,160,5,3940560,0.250625875,357,46,360,46,46,30.71428571,35.83333333,21.68497395,46,470.2380952,46.0,46.0,0.0,BENIGN
96,31,0,96,3,234,0.0,-1,0,61,31,0,7.75,10.33333333,15.5,0,240.25,0.0,0.0,0.0,BENIGN
32,0,32,32,1,0,18867.92453,275,0,365,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,BENIGN
80,46,100,80,4,58900000,0.080044428,363,193,252,64,64,34.3,38.11111111,21.02934458,193,442.2333333,38.6,38.6,21.65178976,BENIGN
32,55,32,32,1,0,20.69622087,-1,105,-1,105,105,71.66666667,107.5,28.86751346,105,833.3333333,105.0,105.0,0.0,BENIGN
64,44,52,64,2,5769441,0.34378751,-1,387,-1,277,277,103.4,129.25,101.2487037,387,10251.3,193.5,193.5,118.0868325,BENIGN
40,34,40,40,2,3,42.52243058,-1,380,-1,190,190,96.4,120.5,85.44471897,380,7300.8,190.0,190.0,0.0,BENIGN
60,6,0,60,3,2015296,0.0,-1,0,254,6,0,6.0,8.0,0.0,0,0.0,0.0,0.0,0.0,BENIGN
252,2366,344,252,12,449130,1.534405847,40880,11982,8192,2366,1689,563.5666667,583.0,789.7306255,11982,623674.4609,704.8235294,704.8235294,736.8449833,BENIGN
96,46,128,96,3,5490881,0.719252668,122,123,330,46,46,32.625,37.28571429,20.79105233,123,432.2678571,30.75,30.75,21.68524844,BENIGN
40,32,40,40,2,48,90.90495887,-1,176,-1,88,88,54.4,68.0,30.67246322,176,940.8,88.0,88.0,0.0,BENIGN
20,6,20,20,1,0,8.049909439,42,6,1332,6,6,6.0,9.0,0.0,6,0.0,6.0,6.0,0.0,BENIGN
20,6,20,20,1,0,8.013719488,31,6,255,6,6,6.0,9.0,0.0,6,0.0,6.0,6.0,0.0,BENIGN
32,63,20,32,1,0,20.81035523,-1,155,-1,155,155,93.66666667,140.5,53.11622477,155,2821.333333,155.0,155.0,0.0,BENIGN
32,63,32,32,1,0,6.856688357,-1,125,-1,125,125,83.66666667,125.5,35.79571669,125,1281.333333,125.0,125.0,0.0,BENIGN
132,517,72,132,6,5001809,0.593949319,60,166,8192,517,160,77.7,86.33333333,161.9966049,166,26242.9,55.33333333,55.33333333,90.69362344,BENIGN
32,0,64,32,1,0,8196.721311,65535,0,269,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,BENIGN
32,0,32,32,1,0,13333.33333,531,0,123,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,BENIGN
96,31,20,96,3,3,13698.63014,0,6,31,31,6,7.4,9.25,13.44618905,6,180.8,6.0,6.0,0.0,BENIGN
64,0,0,64,2,312,0.0,-1,0,118,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,BENIGN
64,37,64,64,2,3,5194.805195,-1,622,-1,311,311,146.6,183.25,150.0759808,622,22522.8,311.0,311.0,0.0,BENIGN
20,42,20,20,1,0,11.9249207,-1,234,-1,234,234,106.0,159.0,110.8512517,234,12288.0,234.0,234.0,0.0,BENIGN
20,50,20,20,1,0,12.47022733,-1,66,-1,66,66,55.33333333,83.0,9.237604307,66,85.33333333,66.0,66.0,0.0,BENIGN
20,54,20,20,1,0,19.92666985,-1,108,-1,108,108,72.0,108.0,31.17691454,108,972.0,108.0,108.0,0.0,BENIGN
272,2114,376,272,13,10000000,0.546368652,75,8032,8192,2114,1844,376.483871,389.0333333,640.9633828,8032,410834.0581,472.4705882,472.4705882,667.5224825,BENIGN
80,36,40,80,4,26397,41.23456281,-1,104,-1,52,52,40.57142857,47.33333333,7.807200584,104,60.95238095,52.0,52.0,0.0,BENIGN
152,1075,192,152,7,34633,0.890302117,21,6269,8192,1810,1810,451.8823529,480.125,655.1542645,6269,429227.1103,696.5555556,696.5555556,771.6088891,BENIGN
64,62,0,64,2,4,0.0,-1,0,-1,62,0,62.0,93.0,0.0,0,0.0,0.0,0.0,0.0,BENIGN
64,0,0,64,2,3,0.0,-1,0,16477,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,BENIGN
40,31,0,40,2,4,0.0,-1,0,110,31,0,22.66666667,34.0,14.43375673,0,208.3333333,0.0,0.0,0.0,BENIGN
32,52,32,32,1,0,20.43401855,-1,113,-1,113,113,72.33333333,108.5,35.21836642,113,1240.333333,113.0,113.0,0.0,BENIGN
20,81,20,20,1,0,21.17298327,-1,163,-1,163,163,108.3333333,162.5,47.34272207,163,2241.333333,163.0,163.0,0.0,BENIGN
64,37,64,64,2,48,5494.505495,-1,622,-1,311,311,146.6,183.25,150.0759808,622,22522.8,311.0,311.0,0.0,BENIGN
40,39,64,40,2,49,41.7920428,-1,266,-1,133,133,76.6,95.75,51.48592041,266,2650.8,133.0,133.0,0.0,BENIGN
64,36,64,64,2,48,9389.671362,-1,200,-1,100,100,61.6,77.0,35.05424368,200,1228.8,100.0,100.0,0.0,BENIGN
72,427,112,72,3,35958,48.86439154,237,2279,8192,1460,1460,301.3333333,339.0,518.1782994,2279,268508.75,455.8,455.8,660.3318863,BENIGN
380,517,412,380,18,10000000,0.332846374,127,23827,29200,4380,4380,641.3589744,658.2368421,1148.166948,23827,1318287.341,1191.35,1191.35,1400.713513,BENIGN
20,51,20,20,1,0,21.06504887,-1,67,-1,67,67,56.33333333,84.5,9.237604307,67,85.33333333,67.0,67.0,0.0,BENIGN
40,46,20,40,1,0,21.01016892,-1,110,-1,110,110,67.33333333,101.0,36.95041723,110,1365.333333,110.0,110.0,0.0,BENIGN
80,47,40,80,4,52345,26.22366161,-1,350,-1,175,175,83.57142857,97.5,62.45760467,350,3900.952381,175.0,175.0,0.0,BENIGN
192,197,132,192,9,5411814,0.976480332,110,3118,8192,1460,1460,218.875,233.4666667,488.1969377,3118,238336.25,519.6666667,519.6666667,730.122912,BENIGN
40,62,0,40,2,49,0.0,-1,0,-1,62,0,62.0,93.0,0.0,0,0.0,0.0,0.0,0.0,BENIGN
212,200,152,212,10,50518,39.85243214,343,4513,8192,1430,1430,281.6666667,298.2352941,511.346895,4513,261475.6471,644.7142857,644.7142857,693.433658,BENIGN
40,35,40,40,2,3,83.70302168,-1,102,-1,51,51,41.4,51.75,8.76356092,102,76.8,51.0,51.0,0.0,BENIGN
132,1133,152,132,6,25850,81.80341471,64,3368,8192,1460,1460,368.2857143,396.6153846,527.4848053,3368,278240.2198,481.1428571,481.1428571,622.9752345,BENIGN
40,6,0,40,2,1823,0.0,-1,0,254,6,0,6.0,9.0,0.0,0,0.0,0.0,0.0,0.0,BENIGN
40,6,0,40,2,62,0.0,-1,0,630,6,0,6.0,9.0,0.0,0,0.0,0.0,0.0,0.0,BENIGN
64,34,40,64,2,3,84.41668074,-1,234,-1,117,117,67.2,84.0,45.46097227,234,2066.7,117.0,117.0,0.0,BENIGN
40,42,40,40,2,4,6535.947712,-1,340,-1,170,170,93.2,116.5,70.10848736,340,4915.2,170.0,170.0,0.0,BENIGN
80,45,40,80,4,26634,33.05566574,-1,146,-1,73,73,53.0,61.83333333,13.66260102,146,186.6666667,73.0,73.0,0.0,BENIGN
192,193,124,192,9,4868770,1.1861627,30016,4875,8192,1689,1689,328.4375,350.3333333,606.1271559,4875,367390.1292,812.5,812.5,802.6939018,BENIGN
20,6,20,20,1,0,25641.02564,258,6,343,6,6,6.0,9.0,0.0,6,0.0,6.0,6.0,0.0,Bot
32,0,32,32,1,0,19.53697372,110,0,237,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,BENIGN
264,615,264,264,8,9960016,0.487598006,124,1187,29200,1006,1006,141.5294118,150.375,290.2649905,1187,84253.76471,148.375,148.375,350.3826225,BENIGN
20,52,32,20,1,0,16.79740648,-1,116,-1,116,116,73.33333333,110.0,36.95041723,116,1365.333333,116.0,116.0,0.0,BENIGN
40,31,40,40,2,4,7246.376812,-1,264,-1,132,132,71.4,89.25,55.31997831,264,3060.3,132.0,132.0,0.0,BENIGN
20,6,20,20,1,0,6535.947712,254,6,114,6,6,6.0,9.0,0.0,6,0.0,6.0,6.0,0.0,BENIGN
80,46,20,80,4,209,3861.003861,0,6,119,46,6,27.5,33.0,17.31762108,6,299.9,6.0,6.0,0.0,BENIGN
584,709,680,584,18,10000000,1.013059495,123,23946,29200,4344,4344,632.25,648.4615385,896.2946445,23946,803344.0897,1140.285714,1140.285714,980.7201509,BENIGN
32,46,40,32,1,0,41.92872117,-1,110,-1,110,110,67.33333333,101.0,36.95041723,110,1365.333333,110.0,110.0,0.0,BENIGN
340,981,380,340,17,10200000,0.183863737,5120,12321,256,2661,2661,414.972973,426.5,699.0536256,12321,488675.9715,648.4736842,648.4736842,852.6547672,BENIGN
60,46,40,60,3,51500000,0.038769846,390,52,258,46,46,26.0,31.2,21.9089023,52,480.0,26.0,26.0,28.28427125,BENIGN
40,43,40,40,2,4,9090.909091,-1,406,-1,203,203,107.0,133.75,87.6356092,406,7680.0,203.0,203.0,0.0,BENIGN
340,336,420,340,17,27200000,0.377719071,165,3006,256,382,382,140.5641026,144.2631579,164.7418706,3006,27139.88394,143.1428571,143.1428571,171.9689756,BENIGN
40,44,40,40,2,3,11695.90643,-1,188,-1,94,94,64.0,80.0,27.38612788,188,750.0,94.0,94.0,0.0,BENIGN
40,36,40,40,2,49,11235.95506,-1,104,-1,52,52,42.4,53.0,8.76356092,104,76.8,52.0,52.0,0.0,BENIGN
40,39,40,40,2,1,11764.70588,-1,110,-1,55,55,45.4,56.75,8.76356092,110,76.8,55.0,55.0,0.0,BENIGN
64,31,0,64,2,4,0.0,-1,0,88,31,0,20.66666667,31.0,17.89785834,0,320.3333333,0.0,0.0,0.0,BENIGN
40,45,40,40,2,1,6269.592476,-1,206,-1,103,103,68.2,85.25,31.76790834,206,1009.2,103.0,103.0,0.0,BENIGN
64,45,64,64,2,3,9803.921569,-1,122,-1,61,61,51.4,64.25,8.76356092,122,76.8,61.0,61.0,0.0,BENIGN
20,49,32,20,1,0,21.33151304,-1,146,-1,146,146,81.33333333,122.0,56.00297611,146,3136.333333,146.0,146.0,0.0,BENIGN
172,191,132,172,8,328478,10.17466508,60,4993,8192,1460,1460,356.0,381.4285714,581.8005304,4993,338491.8571,832.1666667,832.1666667,697.4784346,BENIGN
104,31,40,104,4,34298,42.33252196,-1,246,-1,123,123,57.28571429,66.83333333,44.89140336,246,2015.238095,123.0,123.0,0.0,BENIGN
40,42,40,40,2,4,8438.818565,-1,310,-1,155,155,87.2,109.0,61.892649,310,3830.7,155.0,155.0,0.0,BENIGN
64,53,64,64,2,3,13071.89542,-1,138,-1,69,69,59.4,74.25,8.76356092,138,76.8,69.0,69.0,0.0,BENIGN
40,6,0,40,2,139,0.0,-1,0,253,6,0,6.0,9.0,0.0,0,0.0,0.0,0.0,0.0,BENIGN
744,1654,616,744,23,10200000,0.163735707,71,5358,29200,1654,1448,204.8372093,209.7142857,481.1769762,5358,231531.2824,282.0,282.0,533.9489156,BENIGN
40,6,20,40,2,1,29.51768109,0,6,0,6,6,6.0,8.0,0.0,6,0.0,6.0,6.0,0.0,BENIGN
